width:24.946, height:6.814, time:0.5615475177764893
width:25.003, height:6.832, time:0.5735557079315186
width:24.996, height:6.822, time:0.5752580165863037
width:24.866, height:6.87, time:0.5768516063690186
width:24.866, height:6.872, time:0.5768516063690186
width:24.816, height:6.854, time:0.5768516063690186
width:24.841, height:6.851, time:0.5892581939697266
width:24.893, height:6.865, time:0.590925931930542
width:24.893, height:6.874, time:0.5934767723083496
width:24.893, height:6.863, time:0.5946645736694336
width:24.868, height:6.862, time:0.598872184753418
width:24.868, height:6.862, time:0.598872184753418
width:24.868, height:6.859, time:0.598872184753418
width:24.868, height:6.857, time:0.598872184753418
width:24.844, height:6.842, time:0.6053807735443115
width:24.844, height:6.872, time:0.6086025238037109
width:24.844, height:6.885, time:0.6086025238037109
width:24.868, height:6.893, time:0.6118485927581787
width:24.844, height:6.88, time:0.6118485927581787
width:24.867, height:6.851, time:0.6155707836151123
width:24.867, height:6.844, time:0.6155707836151123
width:24.867, height:6.844, time:0.6216723918914795
width:24.843, height:6.828, time:0.6251792907714844
width:24.869, height:6.82, time:0.6262340545654297
width:24.869, height:6.807, time:0.6292259693145752
width:24.843, height:6.83, time:0.6305093765258789
width:24.843, height:6.825, time:0.6331346035003662
width:24.819, height:6.809, time:0.6331346035003662
width:24.819, height:6.825, time:0.6331346035003662
width:24.819, height:6.854, time:0.6331346035003662
width:24.819, height:6.849, time:0.6429283618927002
width:24.843, height:6.849, time:0.6443414688110352
width:24.818, height:6.858, time:0.6443414688110352
width:24.844, height:6.83, time:0.6505870819091797
width:24.844, height:6.828, time:0.653418779373169
width:24.818, height:6.84, time:0.653418779373169
width:24.818, height:6.843, time:0.6548366546630859
width:24.795, height:6.835, time:0.6568012237548828
width:24.794, height:6.837, time:0.659966230392456
width:24.769, height:6.87, time:0.659966230392456
width:24.77, height:6.835, time:0.659966230392456
width:24.793, height:6.849, time:0.6759676933288574
width:24.794, height:6.807, time:0.6759676933288574
width:24.794, height:6.803, time:0.6759676933288574
width:24.768, height:6.824, time:0.6759676933288574
width:24.768, height:6.835, time:0.6759676933288574
width:24.768, height:6.844, time:0.6759676933288574
width:24.768, height:6.851, time:0.6759676933288574
width:24.768, height:6.826, time:0.695676326751709
width:24.718, height:6.824, time:0.695676326751709
width:24.719, height:6.805, time:0.7029545307159424
width:24.719, height:6.802, time:0.704383373260498
width:24.72, height:6.784, time:0.7062118053436279
width:24.719, height:6.801, time:0.7062118053436279
width:24.719, height:6.816, time:0.7062118053436279
width:24.757, height:6.866, time:0.7062118053436279
width:24.758, height:6.869, time:0.7062118053436279
width:24.767, height:6.884, time:0.7062118053436279
width:24.72, height:6.802, time:0.7062118053436279
width:24.696, height:6.794, time:0.7217299938201904
width:24.733, height:6.831, time:0.7248294353485107
width:24.515, height:6.836, time:0.7265467643737793
width:24.719, height:6.841, time:0.7281439304351807
width:24.606, height:6.818, time:0.7281439304351807
width:24.665, height:6.828, time:0.7281439304351807
width:24.632, height:6.829, time:0.7281439304351807
width:24.682, height:6.827, time:0.7281439304351807
width:24.669, height:6.811, time:0.7281439304351807
width:24.668, height:6.825, time:0.7281439304351807
width:24.692, height:6.827, time:0.7376523017883301
width:24.691, height:6.829, time:0.7376523017883301
width:24.691, height:6.825, time:0.7431590557098389
width:24.691, height:6.819, time:0.7431590557098389
width:24.693, height:6.803, time:0.7431590557098389
width:24.668, height:6.722, time:0.7431590557098389
width:24.668, height:6.784, time:0.7536649703979492
width:24.668, height:6.795, time:0.7536649703979492
width:24.667, height:6.824, time:0.7536649703979492
width:24.643, height:6.825, time:0.7536649703979492
width:24.617, height:6.844, time:0.760634183883667
width:24.617, height:6.839, time:0.760634183883667
width:24.617, height:6.849, time:0.760634183883667
